District_PSA,District,Police_Service_Area,Police_Location_ID,Location,ZIP_CODE,Telephone_Number,Geometry
11,1,1,21,24th St & Wolf St,19145,686-3010,POINT (-75.18693051929371 39.92406564303931)
12,1,2,21,24th St & Wolf St,19145,686-3010,POINT (-75.18693051929371 39.92406564303931)
21,2,1,4,Harbison Ave & Levick St,19149,686-3020,POINT (-75.06324525224497 40.03148814225549)
22,2,2,4,Harbison Ave & Levick St,19149,686-3020,POINT (-75.06324525224497 40.03148814225549)
23,2,3,4,Harbison Ave & Levick St,19149,686-3020,POINT (-75.06324525224497 40.03148814225549)
31,3,1,19,11th St & Wharton St,19147,686-3030,POINT (-75.16228708076623 39.93344859284341)
32,3,2,19,11th St & Wharton St,19147,686-3030,POINT (-75.16228708076623 39.93344859284341)
33,3,3,19,11th St & Wharton St,19147,686-3030,POINT (-75.16228708076623 39.93344859284341)
51,5,1,7,Ridge Ave & Cinnaminson St,19128,686-3050,POINT (-75.22439891562448 40.04019937139934)
52,5,2,7,Ridge Ave & Cinnaminson St,19128,686-3050,POINT (-75.22439891562448 40.04019937139934)
53,5,3,7,Ridge Ave & Cinnaminson St,19128,686-3050,POINT (-75.22439891562448 40.04019937139934)
61,6,1,16,11th St & Winter St,19107,686-3060,POINT (-75.15718780652371 39.95684063231094)
62,6,2,16,11th St & Winter St,19107,686-3060,POINT (-75.15718780652371 39.95684063231094)
63,6,3,16,11th St & Winter St,19107,686-3060,POINT (-75.15718780652371 39.95684063231094)
71,7,1,1,Bustleton Ave & Bowler St,19115,686-3070,POINT (-75.03269952752015 40.09097972126247)
72,7,2,1,Bustleton Ave & Bowler St,19115,686-3070,POINT (-75.03269952752015 40.09097972126247)
73,7,3,1,Bustleton Ave & Bowler St,19115,686-3070,POINT (-75.03269952752015 40.09097972126247)
81,8,1,3,Academy Rd & Red Lion Rd,19114,686-3080,POINT (-74.99729537553345 40.08010584072044)
82,8,2,3,Academy Rd & Red Lion Rd,19114,686-3080,POINT (-74.99729537553345 40.08010584072044)
83,8,3,3,Academy Rd & Red Lion Rd,19114,686-3080,POINT (-74.99729537553345 40.08010584072044)
91,9,1,15,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
92,9,2,15,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
93,9,3,15,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
94,9,4,15,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
95,9,5,15,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
121,12,1,20,65th St & Woodland Ave,19142,686-3120,POINT (-75.23434225129185 39.92556098894912)
122,12,2,20,65th St & Woodland Ave,19142,686-3120,POINT (-75.23434225129185 39.92556098894912)
123,12,3,20,65th St & Woodland Ave,19142,686-3120,POINT (-75.23434225129185 39.92556098894912)
124,12,4,20,65th St & Woodland Ave,19142,686-3120,POINT (-75.23434225129185 39.92556098894912)
141,14,1,2,Haines St & Germantown Ave,19144,686-3140,POINT (-75.17700057441236 40.03843165587103)
142,14,2,2,Haines St & Germantown Ave,19144,686-3140,POINT (-75.17700057441236 40.03843165587103)
143,14,3,2,Haines St & Germantown Ave,19144,686-3140,POINT (-75.17700057441236 40.03843165587103)
144,14,4,2,Haines St & Germantown Ave,19144,686-3140,POINT (-75.17700057441236 40.03843165587103)
151,15,1,6,Harbison Ave & Levick St,19149,686-3150,POINT (-75.06324525224497 40.03148814225549)
152,15,2,6,Harbison Ave & Levick St,19149,686-3150,POINT (-75.06324525224497 40.03148814225549)
153,15,3,6,Harbison Ave & Levick St,19149,686-3150,POINT (-75.06324525224497 40.03148814225549)
161,16,1,14,39th St & Lancaster Ave,19104,686-3160,POINT (-75.20015480221159 39.96193383895758)
162,16,2,14,39th St & Lancaster Ave,19104,686-3160,POINT (-75.20015480221159 39.96193383895758)
163,16,3,14,39th St & Lancaster Ave,19104,686-3160,POINT (-75.20015480221159 39.96193383895758)
171,17,1,18,20th St & Federal St,19146,686-3170,POINT (-75.17675550507633 39.93724421590071)
172,17,2,18,20th St & Federal St,19146,686-3170,POINT (-75.17675550507633 39.93724421590071)
173,17,3,18,20th St & Federal St,19146,686-3170,POINT (-75.17675550507633 39.93724421590071)
181,18,1,17,55th St & Pine St,19143,686-3180,POINT (-75.23217049493992 39.95429201932043)
182,18,2,17,55th St & Pine St,19143,686-3180,POINT (-75.23217049493992 39.95429201932043)
183,18,3,17,55th St & Pine St,19143,686-3180,POINT (-75.23217049493992 39.95429201932043)
191,19,1,13,61st  St & Thompson St,19151,686-3190,POINT (-75.24090441820329 39.97131826054206)
192,19,2,13,61st  St & Thompson St,19151,686-3190,POINT (-75.24090441820329 39.97131826054206)
193,19,3,13,61st  St & Thompson St,19151,686-3190,POINT (-75.24090441820329 39.97131826054206)
221,22,1,10,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
222,22,2,10,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
223,22,3,10,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
224,22,4,10,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
241,24,1,11,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
242,24,2,11,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
243,24,3,11,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
251,25,1,9,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
252,25,2,9,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
253,25,3,9,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
254,25,4,9,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
261,26,1,12,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
262,26,2,12,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
263,26,3,12,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
351,35,1,5,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
352,35,2,5,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
353,35,3,5,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
391,39,1,8,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
392,39,2,8,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
393,39,3,8,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
