Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,1200,John Barry School,K-8 School,Catchment,602,500,58.0,43.5,10.0,14.0,79.1,81.4,4.7,4.1,42.9,21.4,64.3,37.5,3,96.8
2022-2023,1230,William C. Bryant School,K-8 School,Catchment,407,329,27.3,28.7,21.2,16.6,61.3,74.2,6.5,2.2,50.0,20.0,85.7,44.2,3,91.4
2022-2023,1260,Benjamin B. Comegys School,K-8 School,Catchment,365,319,30.0,28.9,13.3,16.8,62.1,76.7,10.3,5.2,38.2,25.5,57.1,33.7,1,85.2
2022-2023,1280,Sadie Alexander School,K-8 School,Catchment,586,578,5.6,2.9,83.3,85.4,6.9,8.9,81.9,77.1,6.7,89.2,57.1,96.6,0,100.0
2022-2023,1290,Andrew Hamilton School,K-8 School,Catchment,406,347,33.3,33.8,14.8,16.9,77.8,78.8,7.4,3.3,36.1,30.2,85.7,45.1,0,94.8
2022-2023,1300,Avery D. Harrington School,K-8 School,Catchment,395,338,34.8,33.8,21.7,24.5,69.6,73.9,13.0,8.4,43.4,22.4,92.9,55.2,1,91.9
2022-2023,1340,Henry C. Lea School,K-8 School,Catchment,500,451,34.0,28.2,32.1,39.4,56.1,58.4,24.6,21.2,27.8,48.6,71.4,69.0,1,94.4
2022-2023,1350,William C. Longstreth School,K-8 School,Catchment,301,249,47.6,32.2,4.8,16.4,,73.8,,3.5,40.7,35.2,50.0,54.2,1,87.7
2022-2023,1360,Morton McMichael School,K-8 School,Catchment,337,279,33.3,35.6,30.3,16.0,66.7,79.2,27.3,7.1,46.7,16.7,71.4,41.5,1,90.2
2022-2023,1370,S. Weir Mitchell School,K-8 School,Catchment,401,338,33.3,38.1,7.4,14.9,75.0,87.4,0.0,3.7,47.5,24.6,42.9,34.9,0,92.5
2022-2023,1410,James Rhoads School,K-8 School,Catchment,516,419,36.4,35.6,16.4,19.6,72.7,73.5,9.1,8.2,42.2,33.3,64.3,41.3,1,93.4
2022-2023,1420,Martha Washington School,K-8 School,Catchment,276,223,,33.5,,21.5,65.0,63.0,20.0,9.3,48.2,28.6,41.7,43.1,1,93.8
2022-2023,1440,Penrose School,K-8 School,Catchment,474,401,40.5,30.7,35.7,24.9,48.8,69.0,24.4,7.9,48.4,25.8,50.0,46.2,1,86.7
2022-2023,1460,Add B. Anderson School,K-8 School,Catchment,456,385,42.4,38.0,15.2,15.7,63.9,74.9,0.0,3.7,48.6,15.3,50.0,48.0,1,88.8
2022-2023,1470,Alain Locke School,K-8 School,Catchment,351,282,29.6,36.1,33.3,20.5,63.0,72.7,33.3,12.1,41.4,20.7,64.3,47.3,0,97.7
2022-2023,1490,Rudolph Blankenburg School,K-8 School,Catchment,305,240,41.7,30.8,20.8,16.6,76.0,76.0,12.0,4.7,43.1,31.0,57.1,41.0,1,86.2
2022-2023,2190,D. Newlin Fell School,K-8 School,Catchment,550,486,17.8,17.3,37.8,46.1,28.9,43.8,48.9,28.2,27.4,51.9,14.3,67.3,4,97.3
2022-2023,2210,Bache-Martin School,K-8 School,Catchment,528,498,30.4,26.1,46.4,41.6,36.2,46.5,48.3,32.9,34.2,52.4,71.4,70.1,1,97.2
2022-2023,2240,F. Amedee Bregy School,K-8 School,Catchment,246,224,26.9,28.4,26.9,35.5,51.9,51.2,25.9,20.4,37.0,46.3,64.3,54.9,1,95.9
2022-2023,2260,George W. Childs School,K-8 School,Catchment,458,396,47.2,30.8,33.3,28.6,52.8,59.0,33.3,16.2,33.7,35.6,78.6,63.3,3,95.2
2022-2023,2340,General George A. McCall School,K-8 School,Catchment,659,628,3.1,5.1,70.8,79.0,10.6,14.6,69.7,71.9,7.1,79.5,28.6,90.0,0,98.9
2022-2023,2370,Delaplaine McDaniel School,K-8 School,Catchment,281,222,,44.8,,9.0,90.0,82.8,0.0,3.0,45.2,26.2,75.0,41.6,1,85.1
2022-2023,2380,William M. Meredith School,K-8 School,Catchment,528,518,0.0,2.0,92.9,85.3,4.3,10.5,87.1,75.8,5.6,89.9,78.6,93.6,0,100.0
2022-2023,2390,Robert Morris School,K-8 School,Catchment,205,158,66.7,40.0,7.4,16.4,60.7,59.5,14.3,16.2,33.3,36.1,71.4,51.2,0,94.6
2022-2023,2450,Edwin M. Stanton School,K-8 School,Catchment,319,306,16.7,18.6,50.0,42.9,41.7,47.5,45.8,22.6,20.0,52.3,85.7,67.1,0,95.0
2022-2023,2470,Albert M. Greenfield School,K-8 School,Catchment,716,683,2.5,2.8,88.6,88.1,6.3,7.8,84.8,78.5,1.6,92.8,64.3,90.5,1,100.0
2022-2023,2480,Marian Anderson Neighborhood Academy,K-8 School,Catchment,318,307,10.8,13.8,78.4,50.0,16.2,41.1,75.7,40.0,25.0,58.9,64.3,77.4,0,96.9
2022-2023,2490,Laura W. Waring School,K-8 School,Catchment,237,197,18.2,19.3,54.6,31.1,50.0,67.2,18.2,10.1,38.5,35.9,75.0,41.8,0,98.3
2022-2023,2510,Fanny Jackson Coppin School,K-8 School,Catchment,526,498,13.1,9.0,62.3,62.2,26.2,24.0,65.6,48.3,13.2,74.6,50.0,86.9,2,97.7
2022-2023,2580,Eliza B. Kirkbride School,K-8 School,Catchment,510,488,35.9,21.4,35.9,46.3,50.9,43.6,26.3,29.0,22.0,55.1,50.0,87.1,1,98.2
2022-2023,2590,George W. Nebinger School,K-8 School,Catchment,398,385,25.5,14.4,51.0,51.5,20.0,23.3,60.0,47.0,9.0,74.2,78.6,83.7,3,99.5
2022-2023,2630,George W. Sharswood School,K-8 School,Catchment,348,331,30.0,21.9,43.3,38.4,26.7,51.3,30.0,18.5,32.0,40.0,85.7,62.1,0,93.1
2022-2023,2640,Southwark School,K-8 School,Catchment,962,882,25.6,23.8,30.2,32.3,47.7,54.3,31.8,19.9,40.6,37.0,71.4,84.0,1,98.7
2022-2023,2690,John H. Taggart School,K-8 School,Catchment,524,496,36.7,22.9,30.6,34.8,50.0,49.5,28.0,25.6,36.6,37.6,78.6,74.1,0,96.6
2022-2023,2720,Vare-Washington School,K-8 School,Catchment,345,318,41.9,19.9,27.9,49.5,51.2,35.7,30.2,36.6,15.5,70.4,42.9,74.2,1,99.1
2022-2023,3301,Community Academy of Philadelphia Charter School,K-8 School,Citywide,688,659,27.1,23.0,25.4,32.0,56.9,64.7,5.2,8.0,16.7,53.3,53.9,68.8,0,98.3
2022-2023,3302,Harambee Institute of Science and Technology Charter School,K-8 School,Citywide,622,604,25.0,13.9,33.3,37.1,28.3,48.9,40.0,19.2,20.4,41.7,76.9,56.6,0,99.0
2022-2023,3306,Christopher Columbus Charter School,K-8 School,Citywide,854,851,10.6,5.8,62.8,61.8,25.3,26.9,39.0,33.8,11.5,67.7,61.5,87.9,0,96.0
2022-2023,3307,Eugenio Maria De Hostos Charter School,K-8 School,Citywide,511,510,15.6,14.0,31.2,42.0,36.8,38.6,30.3,28.1,18.4,51.7,83.3,68.3,0,98.8
2022-2023,3310,Laboratory Charter School of Communication and Languages,K-8 School,Citywide,549,485,43.2,35.5,21.6,17.4,56.8,82.9,13.5,3.5,51.7,20.7,30.8,45.7,0,99.8
2022-2023,3314,West Oak Lane Charter School,K-8 School,Citywide,1005,959,31.9,21.0,24.8,31.7,57.9,52.8,15.8,11.9,24.8,35.9,53.9,77.4,0,89.1
2022-2023,3315,Alliance For Progress Charter School,K-8 School,Citywide,0,0,48.2,55.8,14.8,11.5,76.3,80.0,6.8,4.4,39.6,22.6,80.0,,0,
2022-2023,3321,"Math, Civics and Sciences Charter School",K-8 School,Citywide,636,596,29.5,27.9,16.4,24.0,81.0,82.7,4.8,2.2,42.6,23.7,46.2,62.4,0,98.0
2022-2023,3322,Philadelphia Academy Charter School,K-8 School,Citywide,650,646,13.1,6.0,45.9,64.8,23.0,16.8,52.5,51.1,7.2,75.5,61.5,88.0,0,96.0
2022-2023,3323,Mastery Charter School at Hardy Williams,K-8 School,Citywide With Criteria,797,775,36.6,23.6,32.4,31.7,57.5,58.7,15.1,13.8,28.7,41.9,69.2,72.8,0,78.3
2022-2023,3326,Universal Institute Charter School,K-8 School,Citywide,651,631,19.4,16.3,37.1,39.4,47.7,51.2,24.6,19.2,27.9,44.1,76.9,55.2,0,98.6
2022-2023,3328,"Mathematics, Science, and Technology Community Charter School (MaST)",K-8 School,Citywide,1019,1005,9.0,6.2,61.3,65.1,14.3,18.8,65.2,50.5,10.4,79.3,46.2,88.4,0,93.6
2022-2023,3332,Mariana Bracetti Academy Charter School,K-8 School,Citywide,1131,1125,27.5,25.2,31.7,27.1,41.1,50.5,21.3,17.5,30.0,42.7,61.5,61.3,0,87.8
2022-2023,3333,Esperanza Academy Charter School,K-8 School,Citywide,906,836,,23.5,,18.5,,77.0,,4.4,41.3,27.7,77.8,67.9,0,87.5
2022-2023,3334,New Foundations Charter School,K-8 School,Citywide With Criteria,731,724,10.1,8.6,54.4,56.3,26.6,27.2,39.2,36.6,11.9,66.9,76.9,74.8,0,89.2
2022-2023,3335,People for People Charter School,K-8 School,Citywide,610,533,43.8,34.7,25.0,11.7,65.6,79.9,12.5,4.5,38.5,23.1,84.6,52.6,0,93.6
2022-2023,3336,Philadelphia Performing Arts: A String Theory Charter School,K-8 School,Citywide With Criteria,2108,2085,6.7,7.8,59.5,57.1,15.4,34.9,54.7,37.3,12.1,64.8,61.5,92.0,0,99.5
2022-2023,3337,Global Leadership Academy Charter School,K-8 School,Citywide,688,644,32.8,30.2,16.4,19.2,60.7,77.8,6.6,3.8,38.3,32.6,84.6,77.9,0,96.5
2022-2023,3341,Independence Charter School,K-8 School,Citywide,790,782,14.8,13.4,51.1,50.6,30.7,27.3,37.5,43.3,7.3,69.3,76.9,82.8,0,98.5
2022-2023,3360,Russell Byers Charter School,K-8 School,Citywide,731,716,31.6,19.4,22.4,27.7,46.1,68.7,23.7,9.3,33.6,32.1,69.2,58.0,0,93.8
2022-2023,3362,Wissahickon Charter School,K-8 School,Citywide With Criteria,992,956,30.1,19.4,33.0,38.1,52.4,61.5,19.4,10.8,30.0,43.2,61.5,74.5,0,89.0
2022-2023,3364,First Philadelphia Preparatory Charter School,K-8 School,Citywide With Criteria,1524,1445,39.4,28.2,17.6,23.9,62.5,70.3,8.3,6.6,37.1,31.3,76.9,64.6,0,92.9
2022-2023,3365,Green Woods Charter School,K-8 School,Citywide With Criteria,701,693,6.3,4.9,68.4,66.8,19.0,23.4,57.0,46.0,6.9,80.2,83.3,92.3,0,98.3
2022-2023,3366,Maritime Academy Charter School (MACHS),K-8 School,Citywide,586,570,33.3,22.0,25.5,25.8,48.0,58.3,16.0,10.9,20.9,51.1,61.5,72.2,0,99.2
2022-2023,3368,Belmont Charter School,K-8 School,Catchment,666,615,35.6,31.7,25.4,18.9,60.7,68.5,9.8,6.9,39.5,27.9,76.9,53.0,0,92.2
2022-2023,3370,KIPP Philadelphia Charter School,K-8 School,Citywide,877,830,26.3,25.5,25.3,23.8,49.0,65.7,13.5,5.1,35.5,29.7,61.5,49.6,0,90.1
2022-2023,3372,Discovery Charter School,K-8 School,Citywide,648,616,33.9,19.1,24.2,34.5,51.6,61.3,8.1,6.7,26.7,32.6,46.2,74.1,0,100.0
2022-2023,3379,Ad Prima Charter School,K-8 School,Citywide,613,604,18.5,16.1,25.9,39.8,35.2,53.5,25.9,22.2,26.1,49.6,69.2,93.2,1,96.9
2022-2023,3384,Folk Arts-Cultural Treasures Charter School,K-8 School,Citywide,497,486,11.5,9.3,50.0,69.1,15.4,20.3,63.5,56.8,6.7,81.9,61.5,89.9,0,95.4
2022-2023,3385,Mastery Charter School at Thomas Campus,K-8 School,Citywide With Criteria,841,812,16.9,11.0,43.4,47.3,28.1,34.4,40.2,32.9,27.1,48.4,69.2,79.0,1,91.2
2022-2023,3386,Northwood Academy Charter School,K-8 School,Citywide With Criteria,791,759,25.6,21.3,33.3,30.7,48.1,62.2,22.8,13.5,23.2,44.5,15.4,64.5,0,92.0
2022-2023,3389,Keystone Academy Charter School,K-8 School,Citywide,695,687,18.7,12.3,48.0,44.4,24.0,41.2,37.3,22.1,17.1,60.7,46.2,81.3,0,96.0
2022-2023,3394,Pan American Academy Charter School,K-8 School,Citywide With Criteria,775,746,49.4,32.0,10.3,19.7,69.8,70.1,9.3,7.0,33.1,31.5,30.8,60.5,0,83.4
2022-2023,3395,Antonia Pantoja Charter School,K-8 School,Citywide,711,698,23.2,23.6,40.0,33.3,59.4,59.5,14.6,9.5,20.5,54.0,83.3,51.9,0,95.2
2022-2023,3399,Sankofa Freedom Academy Charter School,K-8 School,Citywide With Criteria,497,469,28.3,18.9,43.5,39.5,45.8,56.0,20.8,14.2,32.4,46.1,69.2,67.2,0,87.3
2022-2023,3403,Franklin Towne Charter Elementary School,K-8 School,Citywide With Criteria,977,959,9.3,8.8,49.1,52.6,24.1,32.4,49.1,34.0,17.7,61.1,30.8,88.4,0,96.0
2022-2023,3404,Tacony Academy Charter School,K-8 School,Citywide With Criteria,743,726,20.0,16.0,45.0,40.8,32.5,45.6,33.8,20.5,27.1,47.1,61.5,71.9,0,93.9
