"Dispatch_Date","Crime_Group","Frequency"
"2024-04-08","Violent Crimes","104"
"2024-04-08","Other Crimes","77"
"2024-04-08","Drug and Vice Crimes","8"
"2024-04-08","Public Order Crimes","4"
"2024-04-09","Property Crimes","244"
"2024-04-09","Violent Crimes","126"
"2024-04-09","Other Crimes","94"
"2024-04-09","Drug and Vice Crimes","13"
"2024-04-09","Public Order Crimes","6"
"2024-04-10","Property Crimes","259"
"2024-04-10","Violent Crimes","108"
"2024-04-10","Other Crimes","73"
"2024-04-10","Drug and Vice Crimes","23"
"2024-04-10","Public Order Crimes","3"
"2024-04-11","Property Crimes","220"
"2024-04-11","Violent Crimes","115"
"2024-04-11","Other Crimes","82"
"2024-04-11","Drug and Vice Crimes","18"
"2024-04-11","Public Order Crimes","3"
"2024-04-12","Property Crimes","241"
"2024-04-12","Violent Crimes","130"
"2024-04-12","Other Crimes","61"
"2024-04-12","Drug and Vice Crimes","14"
"2024-04-12","Public Order Crimes","4"
"2024-04-13","Property Crimes","217"
"2024-04-13","Violent Crimes","94"
"2024-04-13","Other Crimes","49"
"2024-04-13","Drug and Vice Crimes","11"
"2024-04-13","Public Order Crimes","9"
"2024-04-14","Property Crimes","239"
"2024-04-14","Violent Crimes","110"
"2024-04-14","Other Crimes","41"
"2024-04-14","Public Order Crimes","2"
"2024-04-14","Drug and Vice Crimes","2"
"2024-04-15","Property Crimes","281"
"2024-04-15","Violent Crimes","143"
"2024-04-15","Other Crimes","71"
"2024-04-15","Drug and Vice Crimes","10"
"2024-04-15","Public Order Crimes","5"
"2024-04-16","Property Crimes","285"
"2024-04-16","Violent Crimes","129"
"2024-04-16","Other Crimes","77"
"2024-04-16","Drug and Vice Crimes","15"
"2024-04-16","Public Order Crimes","5"
"2024-04-17","Property Crimes","263"
"2024-04-17","Violent Crimes","109"
"2024-04-17","Other Crimes","92"
"2024-04-17","Drug and Vice Crimes","13"
"2024-04-17","Public Order Crimes","2"
"2024-04-18","Property Crimes","231"
"2024-04-18","Violent Crimes","116"
"2024-04-18","Other Crimes","77"
"2024-04-18","Drug and Vice Crimes","13"
"2024-04-18","Public Order Crimes","2"
"2024-04-19","Property Crimes","263"
"2024-04-19","Violent Crimes","127"
"2024-04-19","Other Crimes","91"
"2024-04-19","Drug and Vice Crimes","14"
"2024-04-19","Public Order Crimes","5"
"2024-04-20","Property Crimes","227"
"2024-04-20","Violent Crimes","89"
"2024-04-20","Other Crimes","65"
"2024-04-20","Drug and Vice Crimes","14"
"2024-04-20","Public Order Crimes","7"
"2024-04-21","Property Crimes","233"
"2024-04-21","Violent Crimes","85"
"2024-04-21","Other Crimes","38"
"2024-04-21","Public Order Crimes","5"
"2024-04-21","Drug and Vice Crimes","3"
"2024-04-22","Property Crimes","269"
"2024-04-22","Violent Crimes","128"
"2024-04-22","Other Crimes","58"
"2024-04-22","Drug and Vice Crimes","16"
"2024-04-22","Public Order Crimes","4"
"2024-04-23","Property Crimes","215"
"2024-04-23","Violent Crimes","98"
"2024-04-23","Other Crimes","65"
"2024-04-23","Drug and Vice Crimes","13"
"2024-04-23","Public Order Crimes","5"
"2024-04-24","Property Crimes","280"
"2024-04-24","Violent Crimes","115"
"2024-04-24","Other Crimes","82"
"2024-04-24","Drug and Vice Crimes","19"
"2024-04-24","Public Order Crimes","3"
"2024-04-25","Property Crimes","260"
"2024-04-25","Violent Crimes","136"
"2024-04-25","Other Crimes","74"
"2024-04-25","Drug and Vice Crimes","17"
"2024-04-26","Property Crimes","257"
"2024-04-26","Violent Crimes","111"
"2024-04-26","Other Crimes","68"
"2024-04-26","Drug and Vice Crimes","9"
"2024-04-26","Public Order Crimes","1"
"2024-04-27","Property Crimes","210"
"2024-04-27","Violent Crimes","94"
"2024-04-27","Other Crimes","48"
"2024-04-27","Public Order Crimes","6"
"2024-04-27","Drug and Vice Crimes","5"
"2024-04-28","Property Crimes","184"
"2024-04-28","Violent Crimes","116"
"2024-04-28","Other Crimes","52"
"2024-04-28","Public Order Crimes","7"
"2024-04-28","Drug and Vice Crimes","1"
"2024-04-29","Property Crimes","242"
"2024-04-29","Violent Crimes","139"
"2024-04-29","Other Crimes","53"
"2024-04-29","Drug and Vice Crimes","7"
"2024-04-29","Public Order Crimes","3"
"2024-04-30","Property Crimes","249"
"2024-04-30","Violent Crimes","138"
"2024-04-30","Other Crimes","78"
"2024-04-30","Drug and Vice Crimes","19"
"2024-04-30","Public Order Crimes","7"
"2024-05-01","Property Crimes","236"
"2024-05-01","Violent Crimes","118"
"2024-05-01","Other Crimes","97"
"2024-05-01","Drug and Vice Crimes","19"
"2024-05-01","Public Order Crimes","1"
"2024-05-02","Property Crimes","205"
"2024-05-02","Violent Crimes","143"
"2024-05-02","Other Crimes","79"
"2024-05-02","Drug and Vice Crimes","20"
"2024-05-02","Public Order Crimes","3"
"2024-05-03","Property Crimes","220"
"2024-05-03","Violent Crimes","142"
"2024-05-03","Other Crimes","68"
"2024-05-03","Drug and Vice Crimes","11"
"2024-05-03","Public Order Crimes","2"
"2024-05-04","Property Crimes","201"
"2024-05-04","Violent Crimes","99"
"2024-05-04","Other Crimes","33"
"2024-05-04","Drug and Vice Crimes","13"
"2024-05-04","Public Order Crimes","6"
"2024-05-05","Property Crimes","183"
"2024-05-05","Violent Crimes","90"
"2024-05-05","Other Crimes","38"
"2024-05-05","Drug and Vice Crimes","5"
"2024-05-05","Public Order Crimes","4"
"2024-05-06","Property Crimes","259"
"2024-05-06","Violent Crimes","132"
"2024-05-06","Other Crimes","68"
"2024-05-06","Drug and Vice Crimes","14"
"2024-05-06","Public Order Crimes","8"
"2024-05-07","Property Crimes","274"
"2024-05-07","Violent Crimes","138"
"2024-05-07","Other Crimes","89"
"2024-05-07","Drug and Vice Crimes","12"
"2024-05-07","Public Order Crimes","3"
"2024-05-08","Property Crimes","249"
"2024-05-08","Violent Crimes","114"
"2024-05-08","Other Crimes","75"
"2024-05-08","Drug and Vice Crimes","10"
"2024-05-08","Public Order Crimes","2"
"2024-05-09","Property Crimes","262"
"2024-05-09","Violent Crimes","131"
"2024-05-09","Other Crimes","76"
"2024-05-09","Drug and Vice Crimes","19"
"2024-05-10","Property Crimes","221"
"2024-05-10","Violent Crimes","116"
"2024-05-10","Other Crimes","64"
"2024-05-10","Drug and Vice Crimes","7"
"2024-05-10","Public Order Crimes","1"
"2024-05-11","Property Crimes","198"
"2024-05-11","Violent Crimes","92"
"2024-05-11","Other Crimes","83"
"2024-05-11","Drug and Vice Crimes","17"
"2024-05-11","Public Order Crimes","5"
"2024-05-12","Property Crimes","233"
"2024-05-12","Violent Crimes","103"
"2024-05-12","Other Crimes","39"
"2024-05-12","Public Order Crimes","9"
"2024-05-13","Property Crimes","261"
"2024-05-13","Violent Crimes","114"
"2024-05-13","Other Crimes","73"
"2024-05-13","Drug and Vice Crimes","17"
"2024-05-14","Property Crimes","275"
"2024-05-14","Violent Crimes","120"
"2024-05-14","Other Crimes","101"
"2024-05-14","Drug and Vice Crimes","16"
"2024-05-14","Public Order Crimes","3"
"2024-05-15","Property Crimes","263"
"2024-05-15","Violent Crimes","125"
"2024-05-15","Other Crimes","108"
"2024-05-15","Drug and Vice Crimes","15"
"2024-05-15","Public Order Crimes","3"
"2024-05-16","Property Crimes","269"
"2024-05-16","Violent Crimes","133"
"2024-05-16","Other Crimes","114"
"2024-05-16","Drug and Vice Crimes","8"
"2024-05-16","Public Order Crimes","3"
"2024-05-17","Property Crimes","262"
"2024-05-17","Violent Crimes","118"
"2024-05-17","Other Crimes","65"
"2024-05-17","Drug and Vice Crimes","12"
"2024-05-17","Public Order Crimes","12"
"2024-05-18","Property Crimes","244"
"2024-05-18","Violent Crimes","101"
"2024-05-18","Other Crimes","36"
"2024-05-18","Drug and Vice Crimes","13"
"2024-05-18","Public Order Crimes","5"
"2024-05-19","Property Crimes","207"
"2024-05-19","Violent Crimes","106"
"2024-05-19","Other Crimes","47"
"2024-05-19","Drug and Vice Crimes","4"
"2024-05-19","Public Order Crimes","1"
"2024-05-20","Property Crimes","303"
"2024-05-20","Violent Crimes","125"
"2024-05-20","Other Crimes","64"
"2024-05-20","Drug and Vice Crimes","5"
"2024-05-20","Public Order Crimes","1"
"2024-05-21","Property Crimes","294"
"2024-05-21","Violent Crimes","133"
"2024-05-21","Other Crimes","104"
"2024-05-21","Drug and Vice Crimes","17"
"2024-05-21","Public Order Crimes","4"
"2024-05-22","Property Crimes","327"
"2024-05-22","Violent Crimes","124"
"2024-05-22","Other Crimes","87"
"2024-05-22","Drug and Vice Crimes","10"
"2024-05-22","Public Order Crimes","2"
"2024-05-23","Property Crimes","265"
"2024-05-23","Violent Crimes","127"
"2024-05-23","Other Crimes","80"
"2024-05-23","Drug and Vice Crimes","12"
"2024-05-23","Public Order Crimes","4"
"2024-05-24","Property Crimes","282"
"2024-05-24","Violent Crimes","111"
"2024-05-24","Other Crimes","74"
"2024-05-24","Drug and Vice Crimes","8"
"2024-05-24","Public Order Crimes","2"
"2024-05-25","Property Crimes","251"
"2024-05-25","Violent Crimes","130"
"2024-05-25","Other Crimes","50"
"2024-05-25","Public Order Crimes","9"
"2024-05-25","Drug and Vice Crimes","9"
"2024-05-26","Property Crimes","216"
"2024-05-26","Violent Crimes","128"
"2024-05-26","Other Crimes","45"
"2024-05-26","Drug and Vice Crimes","12"
"2024-05-26","Public Order Crimes","3"
"2024-05-27","Property Crimes","282"
"2024-05-27","Violent Crimes","134"
"2024-05-27","Other Crimes","37"
"2024-05-27","Drug and Vice Crimes","7"
"2024-05-28","Property Crimes","306"
"2024-05-28","Violent Crimes","132"
"2024-05-28","Other Crimes","89"
"2024-05-28","Drug and Vice Crimes","10"
"2024-05-28","Public Order Crimes","8"
"2024-05-29","Property Crimes","316"
"2024-05-29","Violent Crimes","123"
"2024-05-29","Other Crimes","80"
"2024-05-29","Drug and Vice Crimes","26"
"2024-05-29","Public Order Crimes","2"
"2024-05-30","Property Crimes","252"
"2024-05-30","Violent Crimes","115"
"2024-05-30","Other Crimes","75"
"2024-05-30","Drug and Vice Crimes","13"
"2024-05-30","Public Order Crimes","1"
"2024-05-31","Property Crimes","249"
"2024-05-31","Violent Crimes","114"
"2024-05-31","Other Crimes","78"
"2024-05-31","Public Order Crimes","13"
"2024-05-31","Drug and Vice Crimes","10"
"2024-06-01","Property Crimes","235"
"2024-06-01","Violent Crimes","116"
"2024-06-01","Other Crimes","60"
"2024-06-01","Drug and Vice Crimes","11"
"2024-06-01","Public Order Crimes","5"
"2024-06-02","Property Crimes","287"
"2024-06-02","Violent Crimes","87"
"2024-06-02","Other Crimes","33"
"2024-06-02","Drug and Vice Crimes","3"
"2024-06-02","Public Order Crimes","1"
"2024-06-03","Property Crimes","268"
"2024-06-03","Violent Crimes","143"
"2024-06-03","Other Crimes","78"
"2024-06-03","Drug and Vice Crimes","10"
"2024-06-03","Public Order Crimes","5"
"2024-06-04","Property Crimes","253"
"2024-06-04","Violent Crimes","143"
"2024-06-04","Other Crimes","117"
"2024-06-04","Drug and Vice Crimes","13"
"2024-06-04","Public Order Crimes","2"
"2024-06-05","Property Crimes","303"
"2024-06-05","Violent Crimes","129"
"2024-06-05","Other Crimes","99"
"2024-06-05","Drug and Vice Crimes","17"
"2024-06-05","Public Order Crimes","3"
"2024-06-06","Property Crimes","260"
"2024-06-06","Violent Crimes","107"
"2024-06-06","Other Crimes","95"
"2024-06-06","Drug and Vice Crimes","16"
"2024-06-07","Property Crimes","243"
"2024-06-07","Violent Crimes","132"
"2024-06-07","Other Crimes","86"
"2024-06-07","Public Order Crimes","14"
"2024-06-07","Drug and Vice Crimes","9"
"2024-06-08","Property Crimes","232"
"2024-06-08","Violent Crimes","107"
"2024-06-08","Other Crimes","65"
"2024-06-08","Public Order Crimes","6"
"2024-06-08","Drug and Vice Crimes","6"
"2024-06-09","Property Crimes","231"
"2024-06-09","Violent Crimes","109"
"2024-06-09","Other Crimes","41"
"2024-06-09","Public Order Crimes","7"
"2024-06-09","Drug and Vice Crimes","4"
"2024-06-10","Property Crimes","314"
"2024-06-10","Violent Crimes","137"
"2024-06-10","Other Crimes","93"
"2024-06-10","Drug and Vice Crimes","18"
"2024-06-11","Property Crimes","253"
"2024-06-11","Violent Crimes","123"
"2024-06-11","Other Crimes","106"
"2024-06-11","Drug and Vice Crimes","11"
"2024-06-12","Property Crimes","271"
"2024-06-12","Violent Crimes","106"
"2024-06-12","Other Crimes","79"
"2024-06-12","Drug and Vice Crimes","13"
"2024-06-12","Public Order Crimes","4"
"2024-06-13","Property Crimes","272"
"2024-06-13","Violent Crimes","136"
"2024-06-13","Other Crimes","98"
"2024-06-13","Drug and Vice Crimes","12"
"2024-06-13","Public Order Crimes","2"
"2024-06-14","Property Crimes","253"
"2024-06-14","Violent Crimes","124"
"2024-06-14","Other Crimes","73"
"2024-06-14","Drug and Vice Crimes","15"
"2024-06-15","Property Crimes","254"
"2024-06-15","Violent Crimes","117"
"2024-06-15","Other Crimes","39"
"2024-06-15","Public Order Crimes","7"
"2024-06-15","Drug and Vice Crimes","6"
"2024-06-16","Property Crimes","233"
"2024-06-16","Violent Crimes","104"
"2024-06-16","Other Crimes","55"
"2024-06-16","Public Order Crimes","3"
"2024-06-16","Drug and Vice Crimes","2"
"2024-06-17","Property Crimes","284"
"2024-06-17","Violent Crimes","118"
"2024-06-17","Other Crimes","70"
"2024-06-17","Drug and Vice Crimes","8"
"2024-06-18","Property Crimes","283"
"2024-06-18","Violent Crimes","107"
"2024-06-18","Other Crimes","82"
"2024-06-18","Drug and Vice Crimes","13"
"2024-06-18","Public Order Crimes","3"
"2024-06-19","Property Crimes","260"
"2024-06-19","Violent Crimes","106"
"2024-06-19","Other Crimes","75"
"2024-06-19","Drug and Vice Crimes","17"
"2024-06-19","Public Order Crimes","1"
"2024-06-20","Property Crimes","265"
"2024-06-20","Violent Crimes","131"
"2024-06-20","Other Crimes","87"
"2024-06-20","Drug and Vice Crimes","10"
"2024-06-20","Public Order Crimes","3"
"2024-06-21","Property Crimes","246"
"2024-06-21","Violent Crimes","101"
"2024-06-21","Other Crimes","71"
"2024-06-21","Drug and Vice Crimes","17"
"2024-06-21","Public Order Crimes","4"
"2024-06-22","Property Crimes","244"
"2024-06-22","Violent Crimes","90"
"2024-06-22","Other Crimes","48"
"2024-06-22","Drug and Vice Crimes","11"
"2024-06-22","Public Order Crimes","4"
"2024-06-23","Property Crimes","260"
"2024-06-23","Violent Crimes","107"
"2024-06-23","Other Crimes","34"
"2024-06-23","Public Order Crimes","4"
"2024-06-23","Drug and Vice Crimes","2"
"2024-06-24","Property Crimes","311"
"2024-06-24","Violent Crimes","121"
"2024-06-24","Other Crimes","82"
"2024-06-24","Drug and Vice Crimes","14"
"2024-06-24","Public Order Crimes","1"
"2024-06-25","Property Crimes","313"
"2024-06-25","Violent Crimes","120"
"2024-06-25","Other Crimes","75"
"2024-06-25","Drug and Vice Crimes","13"
"2024-06-25","Public Order Crimes","2"
"2024-06-26","Property Crimes","302"
"2024-06-26","Violent Crimes","115"
"2024-06-26","Other Crimes","89"
"2024-06-26","Drug and Vice Crimes","5"
"2024-06-26","Public Order Crimes","2"
"2024-06-27","Property Crimes","258"
"2024-06-27","Violent Crimes","101"
"2024-06-27","Other Crimes","86"
"2024-06-27","Drug and Vice Crimes","18"
"2024-06-27","Public Order Crimes","2"
"2024-06-28","Property Crimes","256"
"2024-06-28","Violent Crimes","105"
"2024-06-28","Other Crimes","67"
"2024-06-28","Public Order Crimes","14"
"2024-06-28","Drug and Vice Crimes","11"
"2024-06-29","Property Crimes","222"
"2024-06-29","Violent Crimes","125"
"2024-06-29","Other Crimes","53"
"2024-06-29","Drug and Vice Crimes","13"
"2024-06-29","Public Order Crimes","8"
"2024-06-30","Property Crimes","243"
"2024-06-30","Violent Crimes","105"
"2024-06-30","Other Crimes","32"
"2024-06-30","Public Order Crimes","3"
"2024-06-30","Drug and Vice Crimes","3"
"2024-07-01","Property Crimes","267"
"2024-07-01","Violent Crimes","152"
"2024-07-01","Other Crimes","67"
"2024-07-01","Drug and Vice Crimes","13"
"2024-07-01","Public Order Crimes","1"
"2024-07-02","Property Crimes","255"
"2024-07-02","Violent Crimes","129"
"2024-07-02","Other Crimes","89"
"2024-07-02","Drug and Vice Crimes","17"
"2024-07-02","Public Order Crimes","1"
"2024-07-03","Property Crimes","246"
"2024-07-03","Violent Crimes","130"
"2024-07-03","Other Crimes","89"
"2024-07-03","Drug and Vice Crimes","16"
"2024-07-04","Property Crimes","213"
"2024-07-04","Violent Crimes","91"
"2024-07-04","Other Crimes","55"
"2024-07-04","Drug and Vice Crimes","10"
"2024-07-04","Public Order Crimes","10"
"2024-07-05","Property Crimes","243"
"2024-07-05","Violent Crimes","121"
"2024-07-05","Other Crimes","82"
"2024-07-05","Drug and Vice Crimes","18"
"2024-07-05","Public Order Crimes","3"
"2024-07-06","Property Crimes","267"
"2024-07-06","Violent Crimes","94"
"2024-07-06","Other Crimes","47"
"2024-07-06","Drug and Vice Crimes","14"
"2024-07-06","Public Order Crimes","2"
"2024-07-07","Property Crimes","229"
"2024-07-07","Violent Crimes","105"
"2024-07-07","Other Crimes","47"
"2024-07-07","Public Order Crimes","10"
"2024-07-07","Drug and Vice Crimes","6"
"2024-07-08","Property Crimes","293"
"2024-07-08","Violent Crimes","116"
"2024-07-08","Other Crimes","92"
"2024-07-08","Drug and Vice Crimes","12"
"2024-07-08","Public Order Crimes","3"
"2024-07-09","Property Crimes","277"
"2024-07-09","Violent Crimes","120"
"2024-07-09","Other Crimes","84"
"2024-07-09","Drug and Vice Crimes","13"
"2024-07-09","Public Order Crimes","4"
"2024-07-10","Property Crimes","264"
"2024-07-10","Violent Crimes","128"
"2024-07-10","Other Crimes","78"
"2024-07-10","Drug and Vice Crimes","12"
"2024-07-10","Public Order Crimes","6"
"2024-07-11","Property Crimes","212"
"2024-07-11","Violent Crimes","131"
"2024-07-11","Other Crimes","59"
"2024-07-11","Drug and Vice Crimes","8"
"2024-07-11","Public Order Crimes","6"
"2024-07-12","Property Crimes","265"
"2024-07-12","Violent Crimes","119"
"2024-07-12","Other Crimes","67"
"2024-07-12","Drug and Vice Crimes","16"
"2024-07-12","Public Order Crimes","10"
"2024-07-13","Property Crimes","224"
"2024-07-13","Violent Crimes","102"
"2024-07-13","Other Crimes","50"
"2024-07-13","Drug and Vice Crimes","7"
"2024-07-13","Public Order Crimes","3"
"2024-07-14","Property Crimes","201"
"2024-07-14","Violent Crimes","111"
"2024-07-14","Other Crimes","38"
"2024-07-14","Drug and Vice Crimes","5"
"2024-07-14","Public Order Crimes","4"
"2024-07-15","Property Crimes","342"
"2024-07-15","Violent Crimes","119"
"2024-07-15","Other Crimes","65"
"2024-07-15","Drug and Vice Crimes","10"
"2024-07-15","Public Order Crimes","2"
"2024-07-16","Property Crimes","289"
"2024-07-16","Violent Crimes","125"
"2024-07-16","Other Crimes","82"
"2024-07-16","Drug and Vice Crimes","12"
"2024-07-16","Public Order Crimes","1"
